segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[t] [ɕ]	-strid,-voice,+back -back,-ant,-voice	0.0017	12900	58828	16478	0.0
[t] [ʑ|ɕ]	-strid,-voice,+back -back,-ant,+strid	0.0017	12900	58828	16483	0.0
[t] [ɕ|ʂ|s|sʲ]	-strid,-voice,+back -voice,+strid	0.0017	28049	58828	79549	0.0
[t] [xʲ|ʂ|s|sʲ|x|f|ɕ|fʲ]	-strid,-voice,+back +cont,-voice	0.0015	28171	58828	92458	0.0
[d|t] [ʑ|ɕ]	-strid,+back -back,-ant,+strid	0.0014	12905	70687	16483	0.0
[d|t] [ɕ]	-strid,+back -back,-ant,-voice	0.0014	12900	70687	16478	0.0
[d|t] [ɕ|ʂ|s|sʲ]	-strid,+back -voice,+strid	0.0014	28049	70687	79549	0.0
[t] [ɕ|sʲ]	-strid,-voice,+back -back,-voice,+strid	0.0014	12984	58828	21265	0.0
[t] [z|ʂ|zʲ|s|sʲ|ʐ|ʑ|ɕ]	-strid,-voice,+back +strid	0.0013	28049	58828	100907	0.0
[t] [ʂ|ɕ]	-strid,-voice,+back -ant,-voice	0.0013	13070	58828	23096	0.0
[t] [ʑ|ɕ|zʲ|sʲ]	-strid,-voice,+back -back,+strid	0.0012	12984	58828	23288	0.0
[t] [xʲ|fʲ|ɕ|sʲ]	-strid,-voice,+back -back,+cont,-voice	0.0012	13001	58828	23655	0.0
[d|t] [xʲ|ʂ|s|sʲ|x|f|ɕ|fʲ]	-strid,+back +cont,-voice	0.0012	28174	70687	92458	0.0
[t] [xʲ|z|ɣ|ʂ|s|sʲ|zʲ|ʐ|ʑ|x|f|ɕ|fʲ]	-strid,-voice,+back +cont,-son	0.0012	28171	58828	113872	0.0
[r|b|z|ɣ|ʂ|s|ʐ|m|ɡ|t|x|f|k|d|l|n|p] [mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n]	+back,+cons +cons	0.0012	136822	332850	476038	0.0
[s|t] [xʲ|ʂ|s|sʲ|t|x|f|k|kʲ|pʲ|tʲ|ɕ|fʲ|p]	-voice,+ant,+back -voice	0.0012	56987	110494	252354	0.0
[ʂ|s|t] [xʲ|ʂ|s|sʲ|t|x|f|k|kʲ|pʲ|tʲ|ɕ|fʲ|p]	+cor,-voice,+back -voice	0.0012	58420	117112	252354	0.0
[r|b|z|ɣ|ʂ|s|ʐ|v|m|ɡ|t|x|f|k|d|l|n|p] [mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n]	-syll,+back +cons	0.0012	140019	359915	476038	0.0
[r|b|z|ɣ|ʂ|s|ʐ|m|ɡ|t|x|f|k|d|l|n|p] [mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n]	+back,+cons -syll	0.0011	143947	332850	547104	0.0
[b|z|ɣ|ʂ|s|ʐ|ɡ|t|x|f|k|d|p] [mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n]	-son,+back +cons	0.0011	111899	232313	476038	0.0
[d|t] [z|ʂ|zʲ|s|sʲ|ʐ|ʑ|ɕ]	-strid,+back +strid	0.0011	28296	70687	100907	0.0
[d|t] [ɕ|sʲ]	-strid,+back -back,-voice,+strid	0.0011	12984	70687	21265	0.0
[t] [xʲ|zʲ|sʲ|ʑ|ɕ|fʲ]	-strid,-voice,+back -back,+cont,-son	0.0011	13001	58828	25678	0.0
[b|ɡ|t|k|d|p] [r|z|ʂ|zʲ|s|sʲ|ʐ|lʲ|rʲ|ʑ|ɕ|l]	-son,-cont,+back +cor,+cont,+cons	0.0011	55148	144119	188812	0.0
[b|z|ɣ|ʂ|s|ʐ|ɡ|t|x|f|k|d|p] [mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n]	-son,+back -syll	0.0011	118513	232313	547104	0.0
[s|t] [ʂ|s|sʲ|t|tʲ|ɕ]	-voice,+ant,+back +cor,-voice	0.0011	45801	110494	172140	0.0
[r|b|z|ɣ|ʂ|s|ʐ|v|m|ɡ|t|x|f|k|d|l|n|p] [mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n]	-syll,+back -syll	0.0011	147225	359915	547104	0.0
[tʲ|t] [ɕ]	-strid,-voice -back,-ant,-voice	0.0011	12900	92591	16478	0.0
[tʲ|t] [ʑ|ɕ]	-strid,-voice -back,-ant,+strid	0.0011	12900	92591	16483	0.0
[tʲ|t] [ɕ|ʂ|s|sʲ]	-strid,-voice -voice,+strid	0.0011	28053	92591	79549	0.0
