ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
s t	0.9	8122	36779	31043	0.0
s kʲ	0.73	3166	36779	5776	0.0
s tʲ	0.44	5932	36779	33763	0.0
p rʲ	0.44	3377	24288	16772	0.0
p r	0.23	3643	24288	36443	0.0
t r	0.13	3085	31043	36443	0.0
tɕ n	0.12	1949	12898	37273	0.0
s k	0.11	2889	36779	30932	0.0
lʲ n	0.11	2354	20272	37273	0.0
f ɕ	0.1	367	5763	3580	0.0
t rʲ	0.1	1795	31043	16772	0.0
ɡ r	0.09	1418	9126	36443	0.0
n n	0.09	2794	37273	37273	0.0
z m	0.08	936	13880	12403	0.0
f k	0.07	909	5763	30932	0.0
t v	0.07	1912	31043	27065	0.0
b r	0.07	1187	9086	36443	0.0
ʂ k	0.05	820	6618	30932	0.0
ts kʲ	0.05	513	14887	5776	0.0
p l	0.05	1009	24288	14418	0.0
ɡ l	0.04	607	9126	14418	0.0
d n	0.04	1059	11859	37273	0.0
lʲ ɕ	0.04	427	20272	3580	0.0
t k	0.04	1544	31043	30932	0.0
b rʲ	0.04	596	9086	16772	0.0
s p	0.03	1407	36779	24288	0.0
b lʲ	0.03	631	9086	20272	0.0
z d	0.03	596	13880	11859	0.0
k r	0.03	1496	30932	36443	0.0
t n	0.03	1499	31043	37273	0.0
z vʲ	0.03	443	13880	7473	0.0
z n	0.03	989	13880	37273	0.0
n t	0.03	1466	37273	31043	0.0
ɡ rʲ	0.03	532	9126	16772	0.0
s vʲ	0.03	712	36779	7473	0.0
b l	0.03	469	9086	14418	0.0
ɣ ɡ	0.03	29	56	9126	0.0
t vʲ	0.02	605	31043	7473	0.0
p lʲ	0.02	881	24288	20272	0.0
s l	0.02	893	36779	14418	0.0
d r	0.02	802	11859	36443	0.0
f s	0.02	551	5763	36779	0.0
z ɡ	0.02	422	13880	9126	0.0
r n	0.02	1371	36443	37273	0.0
tɕ k	0.02	742	12898	30932	0.0
d nʲ	0.02	497	11859	16518	0.0
k rʲ	0.02	808	30932	16772	0.0
s pʲ	0.02	530	36779	6309	0.0
x l	0.02	282	4756	14418	0.0
z b	0.02	380	13880	9086	0.0
n k	0.02	1133	37273	30932	0.0
l k	0.02	671	14418	30932	0.0
k l	0.02	668	30932	14418	0.0
x lʲ	0.02	308	4756	20272	0.0
k lʲ	0.02	783	30932	20272	0.0
ʐ dʲ	0.01	176	5455	5952	0.0
t tɕ	0.01	603	31043	12898	0.0
s sʲ	0.01	384	36779	4787	0.0
ʐ n	0.01	409	5455	37273	0.0
lʲ nʲ	0.01	521	20272	16518	0.0
f t	0.01	378	5763	31043	0.0
d vʲ	0.01	264	11859	7473	0.0
v lʲ	0.01	656	27065	20272	0.0
z dʲ	0.01	254	13880	5952	0.0
ʐ nʲ	0.01	263	5455	16518	0.0
r s	0.01	1009	36443	36779	0.0
z v	0.01	526	13880	27065	0.0
d rʲ	0.01	382	11859	16772	0.0
r m	0.01	558	36443	12403	0.0
k t	0.01	809	30932	31043	0.0
v n	0.01	814	27065	37273	0.0
n s	0.01	936	37273	36779	0.0
d v	0.01	449	11859	27065	0.0
tɕ nʲ	0.01	360	12898	16518	0.0
x v	0.01	272	4756	27065	0.0
m n	0.01	515	12403	37273	0.0
z ʐ	0.01	208	13880	5455	0.0
ɡ lʲ	0.01	325	9126	20272	0.0
t nʲ	0.01	539	31043	16518	0.0
z mʲ	0.01	220	13880	6233	0.0
s lʲ	0.01	641	36779	20272	0.0
r t	0.01	789	36443	31043	0.0
f sʲ	0.01	122	5763	4787	0.0
ʂ lʲ	0.01	269	6618	20272	0.0
n d	0.01	487	37273	11859	0.0
r k	0.01	774	36443	30932	0.0
ʐ d	0.01	184	5455	11859	0.0
l lʲ	0.01	385	14418	20272	0.0
s s	0.01	821	36779	36779	0.0
ts t	0.01	475	14887	31043	0.0
s m	0.01	456	36779	12403	0.0
z nʲ	0.01	322	13880	16518	0.0
s n	0.01	787	36779	37273	0.0
ʂ nʲ	0.01	221	6618	16518	0.0
x r	0.01	278	4756	36443	0.0
n dʲ	0.01	311	37273	5952	0.0
r ʐ	0.01	294	36443	5455	0.0
d ʑ	0.01	5	11859	5	0.062
r ɕ	0.01	229	36443	3580	0.0
p ɕ	0.01	186	24288	3580	0.0
r ʂ	0.01	307	36443	6618	0.0
x n	0.01	260	4756	37273	0.0
nʲ kʲ	0.01	190	16518	5776	0.0
v z	0.01	377	27065	13880	0.0
d ɡ	0.01	202	11859	9126	0.0
n ts	0.01	457	37273	14887	0.0
s mʲ	0.01	293	36779	6233	0.0
z l	0.01	273	13880	14418	0.0
ɡ n	0.01	352	9126	37273	0.0
ʂ t	0.01	268	6618	31043	0.0
r xʲ	0.01	91	36443	650	0.0
r ɡ	0.01	336	36443	9126	0.0
ɡ nʲ	0.01	225	9126	16518	0.0
ʑ ʐ	0.01	3	5	5455	0.25
r nʲ	0.01	445	36443	16518	0.0
n tʲ	0.0	635	37273	33763	0.0
v nʲ	0.0	375	27065	16518	0.0
l l	0.0	254	14418	14418	0.0
m p	0.0	303	12403	24288	0.0
lʲ s	0.0	473	20272	36779	0.0
z bʲ	0.0	124	13880	3704	0.0
s tɕ	0.0	376	36779	12898	0.0
r mʲ	0.0	259	36443	6233	0.0
n nʲ	0.0	426	37273	16518	0.0
n tɕ	0.0	376	37273	12898	0.0
m b	0.0	182	12403	9086	0.0
d ʐ	0.0	137	11859	5455	0.0
r dʲ	0.0	249	36443	5952	0.0
s ts	0.0	384	36779	14887	0.0
b n	0.0	299	9086	37273	0.0
s nʲ	0.0	398	36779	16518	0.0
k sʲ	0.0	196	30932	4787	0.0
m lʲ	0.0	255	12403	20272	0.0
m nʲ	0.0	229	12403	16518	0.0
f fʲ	0.0	49	5763	1740	0.0
m pʲ	0.0	134	12403	6309	0.0
s x	0.0	197	36779	4756	0.0
x rʲ	0.0	133	4756	16772	0.0
p sʲ	0.0	155	24288	4787	0.0
r ɡʲ	0.0	127	36443	2211	0.0
d b	0.0	143	11859	9086	0.0
f r	0.0	198	5763	36443	0.0
n ɕ	0.0	157	37273	3580	0.0
d lʲ	0.0	209	11859	20272	0.0
r tɕ	0.0	292	36443	12898	0.0
ts vʲ	0.0	140	14887	7473	0.0
ʂ n	0.0	208	6618	37273	0.0
tɕ sʲ	0.0	104	12898	4787	0.0
