ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ɲ dʒ	12.8	398	1599	787	0.0
b ʋ	9.85	502	1832	1420	0.0
t s	5.27	603	3456	2031	0.0
n z	5.0	330	2503	885	0.0
mb ʒ	3.38	102	1262	248	0.0
k w	3.34	638	4604	2695	0.0
g w	3.04	393	1916	2695	0.0
ɦ w	2.94	237	720	2695	0.0
t ʂ	2.36	201	3456	503	0.0
dʒ g	1.81	164	787	1916	0.0
n ʐ	1.58	120	2503	371	0.0
d ʐ	1.45	90	1529	371	0.0
b w	1.01	221	1832	2695	0.0
ŋg w	0.91	201	1680	2695	0.0
m w	0.66	252	3652	2695	0.0
r w	0.17	176	7057	2695	0.0
m ʋ	0.14	83	3652	1420	0.0
ʃ w	0.13	52	776	2695	0.0
s k	0.1	96	2031	4604	0.0
ɲ ŋ	0.09	16	1599	176	0.0
tʃ k	0.09	100	2455	4604	0.0
z g	0.07	35	885	1916	0.0
n w	0.05	56	2503	2695	0.0
p k	0.04	49	1425	4604	0.0
nd w	0.02	32	1597	2695	0.0
dz g	0.02	26	1682	1916	0.0
ŋ w	0.01	8	176	2695	0.008
t k	0.01	38	3456	4604	0.0
ʒ w	0.0	4	248	2695	0.125
nʱ w	0.0	5	664	2695	0.062
s t	0.0	7	2031	3456	0.016
d w	0.0	5	1529	2695	0.062
pf j	0.0	1	487	523	1.0
ɲ w	0.0	4	1599	2695	0.125
tʃ w	0.0	3	2455	2695	0.25
mʱ w	0.0	1	373	2695	1.0
g ɦ	0.0	1	1916	720	1.0
k r	0.0	4	4604	7057	0.125
d ʋ	0.0	1	1529	1420	1.0
p r	0.0	2	1425	7057	0.5
d r	0.0	1	1529	7057	1.0
