ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ŋ x	2.2	762	762	7396	0.0
n d	0.79	10499	91997	32299	0.0
n t	0.78	15777	91997	73879	0.0
m b	0.61	5551	60679	17873	0.0
s t	0.47	18312	205606	73879	0.0
s j	0.35	10377	205606	32168	0.0
m p	0.29	5525	60679	37002	0.0
t ɾ	0.25	11129	73879	142847	0.0
p ɾ	0.23	7553	37002	142847	0.0
p l	0.14	3305	37002	45625	0.0
m f	0.12	2355	60679	16382	0.0
s k	0.09	6811	205606	53194	0.0
n s	0.09	8855	91997	205606	0.0
k w	0.08	1069	53194	5564	0.0
s p	0.07	5090	205606	37002	0.0
ɡ w	0.06	265	4690	5564	0.0
ɣ w	0.06	470	14883	5564	0.0
ɾ j	0.05	3360	142847	32168	0.0
t w	0.05	987	73879	5564	0.0
ð j	0.05	1579	33690	32168	0.0
β l	0.05	1936	36807	45625	0.0
f l	0.05	1261	16382	45625	0.0
ɡ n	0.04	923	4690	91997	0.0
k t	0.04	2774	53194	73879	0.0
f ɾ	0.04	2116	16382	142847	0.0
β j	0.04	1498	36807	32168	0.0
k s	0.04	4547	53194	205606	0.0
b ɾ	0.03	1971	17873	142847	0.0
ɾ t	0.03	3942	142847	73879	0.0
n tʃ	0.03	722	91997	4057	0.0
ɣ ɾ	0.03	1712	14883	142847	0.0
ɾ ɣ	0.03	1684	142847	14883	0.0
ɣ j	0.03	794	14883	32168	0.0
ɡ ɾ	0.03	935	4690	142847	0.0
β ɾ	0.03	2604	36807	142847	0.0
b j	0.03	844	17873	32168	0.0
l t	0.02	1871	45625	73879	0.0
d j	0.02	1013	32299	32168	0.0
l β	0.02	1283	45625	36807	0.0
ɾ ð	0.02	2167	142847	33690	0.0
ŋk w	0.02	147	4191	5564	0.0
ŋɡ ɾ	0.02	600	2870	142847	0.0
k ɾ	0.02	2581	53194	142847	0.0
m j	0.02	1308	60679	32168	0.0
l ɣ	0.02	753	45625	14883	0.0
t j	0.02	1366	73879	32168	0.0
k l	0.02	1345	53194	45625	0.0
s ɡ	0.02	844	205606	4690	0.0
l j	0.01	954	45625	32168	0.0
l w	0.01	388	45625	5564	0.0
ŋk l	0.01	327	4191	45625	0.0
ŋɡ w	0.01	94	2870	5564	0.0
ɾ m	0.01	2160	142847	60679	0.0
ɾ β	0.01	1638	142847	36807	0.0
r j	0.01	291	5396	32168	0.0
x w	0.01	130	7396	5564	0.0
f j	0.01	452	16382	32168	0.0
p j	0.01	676	37002	32168	0.0
l d	0.01	750	45625	32299	0.0
b s	0.01	1145	17873	205606	0.0
b l	0.01	531	17873	45625	0.0
ɾ n	0.01	2024	142847	91997	0.0
s b	0.01	1050	205606	17873	0.0
ɾ k	0.01	1429	142847	53194	0.0
l p	0.01	644	45625	37002	0.0
s f	0.0	861	205606	16382	0.0
n j	0.0	805	91997	32168	0.0
ɣ l	0.0	385	14883	45625	0.0
ɾ s	0.0	2292	142847	205606	0.0
s m	0.0	1492	205606	60679	0.0
ɾ w	0.0	372	142847	5564	0.0
p t	0.0	681	37002	73879	0.0
l k	0.0	630	45625	53194	0.0
l m	0.0	639	45625	60679	0.0
p w	0.0	171	37002	5564	0.0
n w	0.0	265	91997	5564	0.0
β w	0.0	166	36807	5564	0.0
s w	0.0	388	205606	5564	0.0
ɾ p	0.0	817	142847	37002	0.0
ŋk ɾ	0.0	274	4191	142847	0.0
ð ɾ	0.0	768	33690	142847	0.0
ŋɡ j	0.0	104	2870	32168	0.0
n m	0.0	805	91997	60679	0.0
d ɾ	0.0	723	32299	142847	0.0
r w	0.0	57	5396	5564	0.0
ŋɡ l	0.0	119	2870	45625	0.0
ɾ tʃ	0.0	250	142847	4057	0.0
l s	0.0	1001	45625	205606	0.0
b x	0.0	116	17873	7396	0.0
ð w	0.0	138	33690	5564	0.0
ɡ l	0.0	144	4690	45625	0.0
b w	0.0	98	17873	5564	0.0
b b	0.0	149	17873	17873	0.0
s l	0.0	725	205606	45625	0.0
l f	0.0	196	45625	16382	0.0
ɾ f	0.0	346	142847	16382	0.0
n ɾ	0.0	819	91997	142847	0.0
m w	0.0	124	60679	5564	0.0
f w	0.0	62	16382	5564	0.0
ɾ x	0.0	205	142847	7396	0.0
ŋk j	0.0	71	4191	32168	0.0
s s	0.0	1149	205606	205606	0.0
ɡ m	0.0	91	4690	60679	0.0
n l	0.0	319	91997	45625	0.0
b d	0.0	117	17873	32299	0.0
k j	0.0	199	53194	32168	0.0
d x	0.0	69	32299	7396	0.0
d w	0.0	53	32299	5564	0.0
d m	0.0	174	32299	60679	0.0
ɡ j	0.0	45	4690	32168	0.0
m n	0.0	268	60679	91997	0.0
ɲ w	0.0	12	2056	5564	0.0
ɾ l	0.0	281	142847	45625	0.0
l tʃ	0.0	44	45625	4057	0.0
d b	0.0	75	32299	17873	0.0
s d	0.0	222	205606	32299	0.0
x j	0.0	39	7396	32168	0.0
p s	0.0	196	37002	205606	0.0
b t	0.0	75	17873	73879	0.0
n n	0.0	181	91997	91997	0.0
ɲ j	0.0	14	2056	32168	0.0
ɡ s	0.0	52	4690	205606	0.0
s n	0.0	225	205606	91997	0.0
d k	0.0	66	32299	53194	0.0
tʃ j	0.0	15	4057	32168	0.0
tʃ w	0.0	6	4057	5564	0.031
b n	0.0	51	17873	91997	0.0
