ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ɲ c	0.12	312	696	1720	0.0
a ŋ	0.06	1544	14393	4286	0.0
e u	0.06	1195	5634	6582	0.0
a n	0.06	1436	14393	3721	0.0
n d	0.05	590	3721	2563	0.0
r a	0.04	1511	6115	14393	0.0
a r	0.04	1490	14393	6115	0.0
p a	0.04	1125	3519	14393	0.0
ɲ ɟ	0.04	147	696	1252	0.0
m b	0.03	444	3214	2962	0.0
b a	0.03	928	2962	14393	0.0
l a	0.03	1163	4689	14393	0.0
n t	0.03	583	3721	4648	0.0
a h	0.03	786	14393	2240	0.0
m p	0.03	462	3214	3519	0.0
s i	0.03	645	4089	5508	0.0
a l	0.03	1103	14393	4689	0.0
k a	0.03	1176	5513	14393	0.0
u ŋ	0.03	700	6582	4286	0.0
o ŋ	0.02	562	4535	4286	0.0
t a	0.02	1029	4648	14393	0.0
u r	0.02	791	6582	6115	0.0
l i	0.02	628	4689	5508	0.0
ŋ k	0.02	598	4286	5513	0.0
r i	0.02	712	6115	5508	0.0
w a	0.02	495	1137	14393	0.0
s a	0.02	935	4089	14393	0.0
m a	0.02	813	3214	14393	0.0
g e	0.02	462	2682	5634	0.0
a m	0.02	804	14393	3214	0.0
l e	0.02	592	4689	5634	0.0
a j	0.02	379	14393	770	0.0
d a	0.02	690	2563	14393	0.0
r E	0.02	538	6115	3731	0.0
c a	0.02	556	1720	14393	0.0
e r	0.02	646	5634	6115	0.0
i ŋ	0.02	532	5508	4286	0.0
a k	0.02	975	14393	5513	0.0
ɟ a	0.02	463	1252	14393	0.0
b u	0.02	470	2962	6582	0.0
k o	0.02	531	5513	4535	0.0
l E	0.02	444	4689	3731	0.0
g a	0.02	658	2682	14393	0.0
ŋ g	0.02	356	4286	2682	0.0
e l	0.02	534	5634	4689	0.0
E ŋ	0.02	410	3731	4286	0.0
u l	0.02	569	6582	4689	0.0
p e	0.02	456	3519	5634	0.0
t i	0.01	514	4648	5508	0.0
a t	0.01	822	14393	4648	0.0
k e	0.01	552	5513	5634	0.0
r e	0.01	576	6115	5634	0.0
r o	0.01	514	6115	4535	0.0
b e	0.01	394	2962	5634	0.0
o l	0.01	442	4535	4689	0.0
u n	0.01	472	6582	3721	0.0
o r	0.01	497	4535	6115	0.0
a s	0.01	715	14393	4089	0.0
o n	0.01	382	4535	3721	0.0
i s	0.01	435	5508	4089	0.0
E n	0.01	341	3731	3721	0.0
l o	0.01	422	4689	4535	0.0
d e	0.01	347	2563	5634	0.0
u h	0.01	350	6582	2240	0.0
r u	0.01	574	6115	6582	0.0
u m	0.01	414	6582	3214	0.0
i n	0.01	407	5508	3721	0.0
E k	0.01	402	3731	5513	0.0
e m	0.01	376	5634	3214	0.0
k u	0.01	527	5513	6582	0.0
u k	0.01	519	6582	5513	0.0
a w	0.01	348	14393	1137	0.0
j a	0.01	286	770	14393	0.0
o k	0.01	426	4535	5513	0.0
e ŋ	0.01	417	5634	4286	0.0
h a	0.01	478	2240	14393	0.0
d o	0.01	287	2563	4535	0.0
e n	0.01	384	5634	3721	0.0
b o	0.01	307	2962	4535	0.0
i r	0.01	484	5508	6115	0.0
g o	0.01	290	2682	4535	0.0
s e	0.01	397	4089	5634	0.0
ɟ e	0.01	219	1252	5634	0.0
p i	0.01	358	3519	5508	0.0
t o	0.01	370	4648	4535	0.0
c i	0.01	248	1720	5508	0.0
t u	0.01	445	4648	6582	0.0
d u	0.01	324	2563	6582	0.0
u t	0.01	432	6582	4648	0.0
i k	0.01	427	5508	5513	0.0
E h	0.01	224	3731	2240	0.0
c e	0.01	241	1720	5634	0.0
l u	0.01	427	4689	6582	0.0
t E	0.01	317	4648	3731	0.0
c o	0.01	212	1720	4535	0.0
E t	0.01	316	3731	4648	0.0
d i	0.01	284	2563	5508	0.0
w i	0.01	189	1137	5508	0.0
p u	0.01	361	3519	6582	0.0
E r	0.01	358	3731	6115	0.0
t e	0.01	381	4648	5634	0.0
s u	0.01	386	4089	6582	0.0
p o	0.01	294	3519	4535	0.0
d E	0.01	227	2563	3731	0.0
a ɲ	0.01	231	14393	696	0.0
p E	0.01	264	3519	3731	0.0
i t	0.01	367	5508	4648	0.0
i l	0.01	365	5508	4689	0.0
c E	0.01	176	1720	3731	0.0
n a	0.01	504	3721	14393	0.0
a d	0.01	417	14393	2563	0.0
g u	0.01	287	2682	6582	0.0
k E	0.01	294	5513	3731	0.0
e t	0.01	330	5634	4648	0.0
ɟ u	0.01	185	1252	6582	0.0
u s	0.01	329	6582	4089	0.0
E l	0.01	262	3731	4689	0.0
u j	0.01	140	6582	770	0.0
m u	0.01	285	3214	6582	0.0
b i	0.01	248	2962	5508	0.0
o g	0.01	214	4535	2682	0.0
w e	0.01	155	1137	5634	0.0
o t	0.01	279	4535	4648	0.0
u d	0.01	243	6582	2563	0.0
e g	0.0	228	5634	2682	0.0
a p	0.0	417	14393	3519	0.0
g E	0.0	185	2682	3731	0.0
a g	0.0	363	14393	2682	0.0
e k	0.0	325	5634	5513	0.0
s E	0.0	226	4089	3731	0.0
a b	0.0	373	14393	2962	0.0
ɟ o	0.0	136	1252	4535	0.0
e d	0.0	215	5634	2563	0.0
b E	0.0	187	2962	3731	0.0
c u	0.0	188	1720	6582	0.0
m e	0.0	234	3214	5634	0.0
s o	0.0	232	4089	4535	0.0
i h	0.0	187	5508	2240	0.0
m i	0.0	223	3214	5508	0.0
o m	0.0	202	4535	3214	0.0
o s	0.0	227	4535	4089	0.0
e b	0.0	215	5634	2962	0.0
k i	0.0	289	5513	5508	0.0
g i	0.0	201	2682	5508	0.0
i m	0.0	219	5508	3214	0.0
u g	0.0	216	6582	2682	0.0
e ɲ	0.0	99	5634	696	0.0
e p	0.0	217	5634	3519	0.0
ɟ i	0.0	127	1252	5508	0.0
o d	0.0	161	4535	2563	0.0
E s	0.0	184	3731	4089	0.0
j u	0.0	106	770	6582	0.0
o j	0.0	87	4535	770	0.0
a ʔ	0.0	45	14393	65	0.0
o h	0.0	147	4535	2240	0.0
w E	0.0	90	1137	3731	0.0
n i	0.0	197	3721	5508	0.0
m o	0.0	165	3214	4535	0.0
a ɟ	0.0	182	14393	1252	0.0
i d	0.0	160	5508	2563	0.0
E w	0.0	87	3731	1137	0.0
o ɲ	0.0	75	4535	696	0.0
E m	0.0	146	3731	3214	0.0
u p	0.0	197	6582	3519	0.0
u ɲ	0.0	86	6582	696	0.0
m E	0.0	139	3214	3731	0.0
w u	0.0	109	1137	6582	0.0
i ɲ	0.0	77	5508	696	0.0
i g	0.0	151	5508	2682	0.0
e s	0.0	188	5634	4089	0.0
t r	0.0	208	4648	6115	0.0
p r	0.0	180	3519	6115	0.0
j o	0.0	71	770	4535	0.0
E d	0.0	117	3731	2563	0.0
ŋ s	0.0	157	4286	4089	0.0
b r	0.0	157	2962	6115	0.0
h i	0.0	127	2240	5508	0.0
w o	0.0	81	1137	4535	0.0
i w	0.0	89	5508	1137	0.0
u b	0.0	157	6582	2962	0.0
o p	0.0	139	4535	3519	0.0
E g	0.0	108	3731	2682	0.0
ʔ a	0.0	33	65	14393	0.0
ɟ E	0.0	72	1252	3731	0.0
h E	0.0	96	2240	3731	0.0
s t	0.0	143	4089	4648	0.0
ŋ a	0.0	251	4286	14393	0.0
h u	0.0	121	2240	6582	0.0
u ɟ	0.0	89	6582	1252	0.0
a c	0.0	154	14393	1720	0.0
e w	0.0	78	5634	1137	0.0
i p	0.0	134	5508	3519	0.0
p l	0.0	123	3519	4689	0.0
f i	0.0	19	73	5508	0.0
E p	0.0	108	3731	3519	0.0
o b	0.0	108	4535	2962	0.0
E ɲ	0.0	47	3731	696	0.0
o c	0.0	77	4535	1720	0.0
u w	0.0	75	6582	1137	0.0
u c	0.0	91	6582	1720	0.0
h o	0.0	85	2240	4535	0.0
n E	0.0	99	3721	3731	0.0
b l	0.0	99	2962	4689	0.0
E c	0.0	66	3731	1720	0.0
j e	0.0	54	770	5634	0.0
ɲ a	0.0	82	696	14393	0.0
ɲ o	0.0	44	696	4535	0.0
i b	0.0	100	5508	2962	0.0
ɲ e	0.0	46	696	5634	0.0
h e	0.0	82	2240	5634	0.0
i a	0.0	204	5508	14393	0.0
v i	0.0	8	23	5508	0.008
o ɟ	0.0	52	4535	1252	0.0
e c	0.0	67	5634	1720	0.0
a f	0.0	22	14393	73	0.0
k s	0.0	101	5513	4089	0.0
n o	0.0	85	3721	4535	0.0
e j	0.0	43	5634	770	0.0
i f	0.0	13	5508	73	0.0
n u	0.0	90	3721	6582	0.0
c l	0.0	50	1720	4689	0.0
ŋ e	0.0	86	4286	5634	0.0
i ɟ	0.0	45	5508	1252	0.0
n e	0.0	76	3721	5634	0.0
ŋ o	0.0	73	4286	4535	0.0
n s	0.0	64	3721	4089	0.0
o w	0.0	37	4535	1137	0.0
i c	0.0	49	5508	1720	0.0
k r	0.0	92	5513	6115	0.0
ŋ c	0.0	43	4286	1720	0.0
d r	0.0	62	2563	6115	0.0
E b	0.0	52	3731	2962	0.0
f a	0.0	16	73	14393	0.0
c r	0.0	49	1720	6115	0.0
ŋ E	0.0	60	4286	3731	0.0
j E	0.0	25	770	3731	0.0
e ɟ	0.0	39	5634	1252	0.0
ɲ E	0.0	23	696	3731	0.0
E o	0.0	58	3731	4535	0.0
ŋ h	0.0	43	4286	2240	0.0
n f	0.0	7	3721	73	0.016
