ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ŋ g	2.58	356	3688	2682	0.0
ŋ s	0.33	157	3688	4089	0.0
s t	0.25	143	4089	4065	0.0
p r	0.24	150	3057	6115	0.0
b r	0.21	126	2518	6115	0.0
t r	0.19	154	4065	6115	0.0
mp l	0.19	45	462	4689	0.0
nt r	0.16	54	583	6115	0.0
k s	0.1	101	4915	4089	0.0
b l	0.09	72	2518	4689	0.0
p l	0.09	78	3057	4689	0.0
n s	0.08	64	2548	4089	0.0
ŋ c	0.07	43	3688	1408	0.0
mb r	0.07	31	444	6115	0.0
mb l	0.07	27	444	4689	0.0
ŋk r	0.07	35	598	6115	0.0
mp r	0.06	30	462	6115	0.0
n f	0.05	7	2548	73	0.016
nd r	0.05	30	590	6115	0.0
ŋ p	0.05	51	3688	3057	0.0
ŋ h	0.05	43	3688	2240	0.0
ŋ b	0.04	44	3688	2518	0.0
ŋk l	0.04	24	598	4689	0.0
ŋ d	0.04	37	3688	1973	0.0
r t	0.04	67	6115	4065	0.0
c l	0.04	34	1408	4689	0.0
ɲc l	0.04	16	312	4689	0.0
ŋ t	0.03	50	3688	4065	0.0
ʔ m	0.03	5	65	2308	0.062
ŋ ɟ	0.03	26	3688	1105	0.0
k t	0.03	56	4915	4065	0.0
z h	0.03	1	3	2240	1.0
g r	0.03	48	2682	6115	0.0
ɲc r	0.03	16	312	6115	0.0
s m	0.03	35	4089	2308	0.0
c r	0.03	33	1408	6115	0.0
r d	0.02	37	6115	1973	0.0
k r	0.02	57	4915	6115	0.0
r m	0.02	39	6115	2308	0.0
ŋ l	0.02	41	3688	4689	0.0
r n	0.02	38	6115	2548	0.0
r s	0.02	48	6115	4089	0.0
b j	0.02	13	2518	770	0.0
d r	0.02	32	1973	6115	0.0
s r	0.02	46	4089	6115	0.0
s p	0.02	31	4089	3057	0.0
h m	0.01	19	2240	2308	0.0
n v	0.01	2	2548	23	0.5
z k	0.01	1	3	4915	1.0
ɟ r	0.01	21	1105	6115	0.0
k l	0.01	38	4915	4689	0.0
s w	0.01	17	4089	1137	0.0
ŋ r	0.01	36	3688	6115	0.0
g ɟ	0.01	13	2682	1105	0.0
ɲɟ r	0.01	7	147	6115	0.016
ʔ l	0.01	4	65	4689	0.125
r w	0.01	19	6115	1137	0.0
s k	0.01	32	4089	4915	0.0
g d	0.01	16	2682	1973	0.0
h w	0.01	11	2240	1137	0.001
g f	0.01	3	2682	73	0.25
r g	0.01	26	6115	2682	0.0
r b	0.01	25	6115	2518	0.0
