ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ŋ g	3.25	334	3469	2483	0.0
ŋ s	0.46	137	3469	2944	0.0
b r	0.3	114	2166	4966	0.0
mp l	0.27	42	423	3924	0.0
p r	0.25	111	2454	4966	0.0
nt r	0.19	44	507	4966	0.0
t r	0.16	100	3162	4966	0.0
s t	0.12	66	2944	3162	0.0
mb r	0.11	30	405	4966	0.0
p l	0.11	65	2454	3924	0.0
mb l	0.11	26	405	3924	0.0
ŋk r	0.1	33	543	4966	0.0
ŋ c	0.1	42	3469	1329	0.0
b l	0.1	57	2166	3924	0.0
mp r	0.09	27	423	4966	0.0
ŋ j	0.07	27	3469	772	0.0
ŋ p	0.07	48	3469	2454	0.0
ŋk l	0.07	24	543	3924	0.0
ŋ h	0.07	41	3469	1854	0.0
k s	0.06	52	4082	2944	0.0
ŋ b	0.06	41	3469	2166	0.0
ɲc l	0.06	16	292	3924	0.0
c l	0.06	34	1329	3924	0.0
ŋ d	0.05	34	3469	1534	0.0
ŋ t	0.05	48	3469	3162	0.0
nd r	0.05	22	508	4966	0.0
ɲc r	0.04	16	292	4966	0.0
c r	0.04	33	1329	4966	0.0
n s	0.04	30	1923	2944	0.0
ʔ m	0.04	2	17	1631	0.5
r t	0.03	42	4966	3162	0.0
ŋ l	0.03	38	3469	3924	0.0
s r	0.03	39	2944	4966	0.0
n f	0.02	2	1923	21	0.5
g r	0.02	33	2483	4966	0.0
n v	0.02	1	1923	6	1.0
b j	0.02	12	2166	772	0.0
ʔ j	0.02	1	17	772	1.0
s m	0.02	19	2944	1631	0.0
ɲɟ r	0.02	7	139	4966	0.016
d r	0.02	23	1534	4966	0.0
k r	0.02	37	4082	4966	0.0
g d	0.02	16	2483	1534	0.0
ŋ r	0.02	34	3469	4966	0.0
r m	0.02	23	4966	1631	0.0
s w	0.02	13	2944	919	0.0
k t	0.02	28	4082	3162	0.0
g j	0.01	10	2483	772	0.002
h m	0.01	12	1854	1631	0.0
r n	0.01	21	4966	1923	0.0
k l	0.01	27	4082	3924	0.0
d ʔ	0.01	1	1534	17	1.0
ɟ l	0.01	11	809	3924	0.001
h w	0.01	8	1854	919	0.008
k c	0.01	14	4082	1329	0.0
ɟ r	0.01	12	809	4966	0.0
r s	0.01	22	4966	2944	0.0
h k	0.01	15	1854	4082	0.0
k b	0.01	16	4082	2166	0.0
mp j	0.01	3	423	772	0.25
ʔ b	0.01	1	17	2166	1.0
r g	0.01	18	4966	2483	0.0
h c	0.01	8	1854	1329	0.008
ŋ m	0.01	12	3469	1631	0.0
h j	0.01	6	1854	772	0.031
s p	0.01	13	2944	2454	0.0
r d	0.01	13	4966	1534	0.0
r w	0.01	10	4966	919	0.002
f g	0.0	1	21	2483	1.0
p j	0.0	6	2454	772	0.031
s k	0.0	15	2944	4082	0.0
h n	0.0	8	1854	1923	0.008
h p	0.0	9	1854	2454	0.004
h d	0.0	7	1854	1534	0.016
k g	0.0	13	4082	2483	0.0
ɲɟ l	0.0	3	139	3924	0.25
f s	0.0	1	21	2944	1.0
r ɟ	0.0	8	4966	809	0.008
g l	0.0	12	2483	3924	0.0
m j	0.0	4	1631	772	0.125
m l	0.0	9	1631	3924	0.004
l f	0.0	1	3924	21	1.0
k p	0.0	11	4082	2454	0.001
h r	0.0	10	1854	4966	0.002
h g	0.0	7	1854	2483	0.016
k d	0.0	8	4082	1534	0.008
r k	0.0	14	4966	4082	0.0
k m	0.0	8	4082	1631	0.008
f r	0.0	1	21	4966	1.0
r b	0.0	10	4966	2166	0.002
h l	0.0	8	1854	3924	0.008
m r	0.0	8	1631	4966	0.008
n p	0.0	6	1923	2454	0.031
ŋ n	0.0	7	3469	1923	0.016
r h	0.0	8	4966	1854	0.008
g b	0.0	6	2483	2166	0.031
k w	0.0	5	4082	919	0.062
j r	0.0	5	772	4966	0.062
d w	0.0	3	1534	919	0.25
g t	0.0	7	2483	3162	0.016
s b	0.0	6	2944	2166	0.031
r c	0.0	6	4966	1329	0.031
p t	0.0	6	2454	3162	0.031
s l	0.0	7	2944	3924	0.016
s ɟ	0.0	3	2944	809	0.25
d j	0.0	2	1534	772	0.5
m s	0.0	4	1631	2944	0.125
r l	0.0	8	4966	3924	0.008
d ɲ	0.0	1	1534	219	1.0
l j	0.0	3	3924	772	0.25
r p	0.0	6	4966	2454	0.031
t l	0.0	6	3162	3924	0.031
p c	0.0	3	2454	1329	0.25
g c	0.0	3	2483	1329	0.25
t n	0.0	4	3162	1923	0.125
h ɲ	0.0	1	1854	219	1.0
g ɟ	0.0	2	2483	809	0.5
g h	0.0	3	2483	1854	0.25
n g	0.0	3	1923	2483	0.25
l b	0.0	4	3924	2166	0.125
m c	0.0	2	1631	1329	0.5
t m	0.0	3	3162	1631	0.25
l c	0.0	3	3924	1329	0.25
s h	0.0	3	2944	1854	0.25
t j	0.0	2	3162	772	0.5
m d	0.0	2	1631	1534	0.5
s n	0.0	3	2944	1923	0.25
l d	0.0	3	3924	1534	0.25
