ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
tsh w	40.03	78	330	541	0.0
p ʃh	11.46	8	820	8	0.008
ts w	10.72	60	729	541	0.0
kx w	7.41	36	380	541	0.0
k w	7.16	62	1166	541	0.0
x w	4.57	49	1140	541	0.0
t ʃ	3.91	16	1240	62	0.0
b ʒ	3.88	4	1212	4	0.124
t w	3.71	46	1240	541	0.0
ɸ ʃ	3.31	9	463	62	0.004
l w	2.4	55	2740	541	0.0
s w	1.71	32	1302	541	0.0
r w	1.55	25	877	541	0.0
th w	1.05	20	825	541	0.0
dʒ w	0.28	3	69	541	0.249
p ʃ	0.21	3	820	62	0.249
n w	0.2	9	874	541	0.004
ʃ w	0.04	1	62	541	1.0
kh w	0.03	1	76	541	1.0
h w	0.02	1	131	541	1.0
d w	0.0	1	520	541	1.0
s t	0.0	1	1302	1240	1.0
