ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t ɬh	7.69	481	2825	492	0.0
t ɬ	6.45	399	2825	404	0.0
d ʒ	5.41	69	589	69	0.0
t sh	5.4	330	2825	330	0.0
t s	4.28	729	2825	2030	0.0
k x	2.85	380	1546	1516	0.0
ŋ w	1.57	45	102	586	0.0
sh w	1.45	78	330	586	0.0
t ʃh	0.75	46	2825	46	0.0
x w	0.38	85	1516	586	0.0
s w	0.33	92	2030	586	0.0
ɬ w	0.2	32	404	586	0.0
k w	0.2	62	1546	586	0.0
l w	0.09	55	2737	586	0.0
t ʃ	0.08	16	2825	50	0.0
r w	0.06	25	876	586	0.0
th w	0.02	10	344	586	0.002
ɬh w	0.02	10	492	586	0.002
ʒ w	0.01	3	69	586	0.25
n w	0.01	9	876	586	0.004
t w	0.01	15	2825	586	0.0
ʃ w	0.0	1	50	586	1.0
kh w	0.0	1	76	586	1.0
h w	0.0	1	574	586	1.0
d w	0.0	1	589	586	1.0
n t	0.0	2	876	2825	0.5
s t	0.0	1	2030	2825	1.0
