ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
s t	0.46	130	691	2165	0.0
n tʃ	0.33	47	665	405	0.0
ʎ ʎ	0.25	8	102	102	0.008
n t	0.21	86	665	2165	0.0
r t	0.2	104	995	2165	0.0
n dʒ	0.16	28	665	294	0.0
c c	0.14	2	34	34	0.5
l l	0.1	39	797	797	0.0
z l	0.09	21	262	797	0.0
n ɡ	0.06	14	665	186	0.0
r d	0.06	24	995	370	0.0
r ɡ	0.06	17	995	186	0.0
r l	0.06	35	995	797	0.0
n k	0.06	46	665	2144	0.0
n d	0.06	19	665	370	0.0
d d	0.06	14	370	370	0.0
r m	0.05	31	995	756	0.0
n ʒ	0.05	4	665	19	0.125
v v	0.05	9	258	258	0.004
z ɡ	0.04	7	262	186	0.016
v r	0.04	16	258	995	0.0
j j	0.04	14	448	448	0.0
m b	0.04	18	756	451	0.0
n l	0.03	21	665	797	0.0
r k	0.03	42	995	2144	0.0
s k	0.03	34	691	2144	0.0
r dʒ	0.03	15	995	294	0.0
h r	0.03	16	357	995	0.0
h ʎ	0.03	5	357	102	0.062
s p	0.03	16	691	545	0.0
r p	0.03	19	995	545	0.0
j r	0.03	17	448	995	0.0
r tʃ	0.03	16	995	405	0.0
l d	0.02	13	797	370	0.0
ʒ d	0.02	2	19	370	0.5
n s	0.02	15	665	691	0.0
l t	0.02	29	797	2165	0.0
j n	0.02	12	448	665	0.0
ʃ t	0.02	16	250	2165	0.0
f r	0.02	10	219	995	0.002
m d	0.02	11	756	370	0.001
r s	0.02	17	995	691	0.0
f t	0.02	14	219	2165	0.0
s l	0.02	15	691	797	0.0
n j	0.02	11	665	448	0.001
h ʃ	0.02	6	357	250	0.031
k l	0.02	26	2144	797	0.0
v l	0.02	9	258	797	0.004
t l	0.02	26	2165	797	0.0
r n	0.02	16	995	665	0.0
r b	0.02	13	995	451	0.0
m dʒ	0.01	9	756	294	0.004
z z	0.01	5	262	262	0.062
v ʎ	0.01	3	258	102	0.25
r r	0.01	17	995	995	0.0
m l	0.01	13	756	797	0.0
k s	0.01	20	2144	691	0.0
ʃ r	0.01	8	250	995	0.008
h t	0.01	14	357	2165	0.0
n ɟ	0.01	1	665	6	1.0
r v	0.01	8	995	258	0.008
v ʃ	0.01	4	258	250	0.125
n f	0.01	6	665	219	0.031
j l	0.01	9	448	797	0.004
b r	0.01	10	451	995	0.002
j d	0.01	6	448	370	0.031
f l	0.01	6	219	797	0.031
s b	0.01	8	691	451	0.008
m p	0.01	9	756	545	0.004
h d	0.01	5	357	370	0.062
f f	0.01	3	219	219	0.25
h m	0.01	7	357	756	0.016
s c	0.01	2	691	34	0.5
s s	0.01	9	691	691	0.004
l ɡ	0.01	5	797	186	0.062
ʎ p	0.01	3	102	545	0.25
k t	0.01	27	2144	2165	0.0
l dʒ	0.01	6	797	294	0.031
l tʃ	0.01	7	797	405	0.016
p l	0.01	8	545	797	0.008
l p	0.01	8	797	545	0.008
n n	0.01	8	665	665	0.008
d ʒ	0.01	1	370	19	1.0
ʃ v	0.01	3	250	258	0.25
j v	0.01	4	448	258	0.125
l m	0.01	9	797	756	0.004
z v	0.01	3	262	258	0.25
h l	0.01	6	357	797	0.031
z m	0.01	5	262	756	0.062
ʃ l	0.01	5	250	797	0.062
dʒ r	0.0	6	294	995	0.031
t r	0.0	16	2165	995	0.0
v dʒ	0.0	3	258	294	0.25
ʃ c	0.0	1	250	34	1.0
