ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
d ʒ	10.24	295	664	313	0.0
t ʃ	2.41	407	2570	655	0.0
n t	0.25	133	665	2570	0.0
s t	0.24	131	691	2570	0.0
ʎ ʎ	0.15	8	102	102	0.008
r t	0.14	120	995	2570	0.0
n d	0.12	47	665	664	0.0
c c	0.08	2	34	34	0.5
l l	0.06	39	797	797	0.0
r d	0.06	39	995	664	0.0
z l	0.05	21	262	797	0.0
n ɡ	0.04	14	665	186	0.0
r ɡ	0.04	17	995	186	0.0
r l	0.04	35	995	797	0.0
n k	0.04	46	665	2144	0.0
r m	0.03	31	995	756	0.0
v v	0.03	9	258	258	0.004
z ɡ	0.02	7	262	186	0.016
v r	0.02	16	258	995	0.0
j j	0.02	14	448	448	0.0
m b	0.02	18	756	451	0.0
n l	0.02	21	665	797	0.0
r k	0.02	42	995	2144	0.0
m d	0.02	20	756	664	0.0
s k	0.02	34	691	2144	0.0
h r	0.02	16	357	995	0.0
h ʎ	0.02	5	357	102	0.062
l d	0.02	19	797	664	0.0
s p	0.02	16	691	545	0.0
r p	0.02	19	995	545	0.0
j r	0.02	17	448	995	0.0
l t	0.02	36	797	2570	0.0
n s	0.01	15	665	691	0.0
j n	0.01	12	448	665	0.0
f r	0.01	10	219	995	0.002
d d	0.01	14	664	664	0.0
r s	0.01	17	995	691	0.0
s l	0.01	15	691	797	0.0
n j	0.01	11	665	448	0.001
f t	0.01	15	219	2570	0.0
k l	0.01	26	2144	797	0.0
v l	0.01	9	258	797	0.004
r n	0.01	16	995	665	0.0
r b	0.01	13	995	451	0.0
z z	0.01	5	262	262	0.062
v ʎ	0.01	3	258	102	0.25
t l	0.01	26	2570	797	0.0
r r	0.01	17	995	995	0.0
ʃ t	0.01	22	655	2570	0.0
m l	0.01	13	756	797	0.0
k s	0.01	20	2144	691	0.0
n ɟ	0.01	1	665	6	1.0
r v	0.01	8	995	258	0.008
k t	0.01	37	2144	2570	0.0
n f	0.01	6	665	219	0.031
h t	0.01	15	357	2570	0.0
j l	0.01	9	448	797	0.004
b r	0.01	10	451	995	0.002
f l	0.01	6	219	797	0.031
s b	0.01	8	691	451	0.008
m p	0.0	9	756	545	0.004
f f	0.0	3	219	219	0.25
h m	0.0	7	357	756	0.016
s c	0.0	2	691	34	0.5
s s	0.0	9	691	691	0.004
l ɡ	0.0	5	797	186	0.062
ʎ p	0.0	3	102	545	0.25
h ʃ	0.0	6	357	655	0.031
h d	0.0	6	357	664	0.031
p l	0.0	8	545	797	0.008
l p	0.0	8	797	545	0.008
n n	0.0	8	665	665	0.008
p t	0.0	14	545	2570	0.0
j v	0.0	4	448	258	0.125
l m	0.0	9	797	756	0.004
z v	0.0	3	262	258	0.25
ʃ ɡ	0.0	4	655	186	0.125
h l	0.0	6	357	797	0.031
z m	0.0	5	262	756	0.062
j d	0.0	6	448	664	0.031
m ʎ	0.0	3	756	102	0.25
ʒ r	0.0	6	313	995	0.031
l k	0.0	14	797	2144	0.0
m m	0.0	8	756	756	0.008
m r	0.0	9	756	995	0.004
l b	0.0	6	797	451	0.031
t r	0.0	16	2570	995	0.0
ʃ r	0.0	8	655	995	0.008
v ʃ	0.0	4	258	655	0.125
ʃ v	0.0	4	655	258	0.125
ʃ l	0.0	7	655	797	0.016
v d	0.0	4	258	664	0.125
n z	0.0	4	665	262	0.125
p r	0.0	7	545	995	0.016
s v	0.0	4	691	258	0.125
l h	0.0	5	797	357	0.062
p p	0.0	5	545	545	0.062
j b	0.0	4	448	451	0.125
b b	0.0	4	451	451	0.125
n ʒ	0.0	4	665	313	0.125
j m	0.0	5	448	756	0.062
h h	0.0	3	357	357	0.25
j t	0.0	9	448	2570	0.004
l j	0.0	5	797	448	0.062
m s	0.0	6	756	691	0.031
v k	0.0	6	258	2144	0.031
t t	0.0	20	2570	2570	0.0
f s	0.0	3	219	691	0.25
s f	0.0	3	691	219	0.25
v z	0.0	2	258	262	0.5
ʃ k	0.0	9	655	2144	0.004
k r	0.0	11	2144	995	0.001
r j	0.0	5	995	448	0.062
h b	0.0	3	357	451	0.25
n b	0.0	4	665	451	0.125
z d	0.0	3	262	664	0.25
s j	0.0	4	691	448	0.125
h f	0.0	2	357	219	0.5
j ɡ	0.0	2	448	186	0.5
s m	0.0	5	691	756	0.062
v m	0.0	3	258	756	0.25
m z	0.0	3	756	262	0.25
ʃ c	0.0	1	655	34	1.0
p ʃ	0.0	4	545	655	0.125
v h	0.0	2	258	357	0.5
ʒ d	0.0	3	313	664	0.25
j f	0.0	2	448	219	0.5
r ʃ	0.0	5	995	655	0.062
d r	0.0	5	664	995	0.062
v t	0.0	5	258	2570	0.062
j p	0.0	3	448	545	0.25
s n	0.0	4	691	665	0.125
z r	0.0	3	262	995	0.25
r z	0.0	3	995	262	0.25
z j	0.0	2	262	448	0.5
b z	0.0	2	451	262	0.5
z b	0.0	2	262	451	0.5
k k	0.0	12	2144	2144	0.0
r c	0.0	1	995	34	1.0
ɡ m	0.0	2	186	756	0.5
p z	0.0	2	545	262	0.5
j k	0.0	5	448	2144	0.062
r h	0.0	3	995	357	0.25
b l	0.0	3	451	797	0.25
h j	0.0	2	357	448	0.5
j h	0.0	2	448	357	0.5
p s	0.0	3	545	691	0.25
v n	0.0	2	258	665	0.5
l f	0.0	2	797	219	0.5
v s	0.0	2	258	691	0.5
j ʎ	0.0	1	448	102	1.0
b ʎ	0.0	1	451	102	1.0
ɡ r	0.0	2	186	995	0.5
v ɡ	0.0	1	258	186	1.0
s d	0.0	3	691	664	0.25
r f	0.0	2	995	219	0.5
ʃ m	0.0	3	655	756	0.25
p ʎ	0.0	1	545	102	1.0
m n	0.0	3	756	665	0.25
ʃ h	0.0	2	655	357	0.5
h n	0.0	2	357	665	0.5
h s	0.0	2	357	691	0.5
k z	0.0	3	2144	262	0.25
m h	0.0	2	756	357	0.5
s ʎ	0.0	1	691	102	1.0
ʃ b	0.0	2	655	451	0.5
t z	0.0	3	2570	262	0.25
s r	0.0	3	691	995	0.25
j s	0.0	2	448	691	0.5
m t	0.0	5	756	2570	0.062
ʒ v	0.0	1	313	258	1.0
ʒ z	0.0	1	313	262	1.0
m j	0.0	2	756	448	0.5
t c	0.0	1	2570	34	1.0
k d	0.0	4	2144	664	0.125
p d	0.0	2	545	664	0.5
h v	0.0	1	357	258	1.0
z h	0.0	1	262	357	1.0
k m	0.0	4	2144	756	0.125
p ɡ	0.0	1	545	186	1.0
k b	0.0	3	2144	451	0.25
ʃ n	0.0	2	655	665	0.5
v j	0.0	1	258	448	1.0
p f	0.0	1	545	219	1.0
t b	0.0	3	2570	451	0.25
l ʃ	0.0	2	797	655	0.5
k v	0.0	2	2144	258	0.5
z k	0.0	2	262	2144	0.5
ʃ f	0.0	1	655	219	1.0
f d	0.0	1	219	664	1.0
k n	0.0	3	2144	665	0.25
d v	0.0	1	664	258	1.0
z n	0.0	1	262	665	1.0
t n	0.0	3	2570	665	0.25
h k	0.0	2	357	2144	0.5
l v	0.0	1	797	258	1.0
k ʎ	0.0	1	2144	102	1.0
t k	0.0	5	2570	2144	0.062
n h	0.0	1	665	357	1.0
k j	0.0	2	2144	448	0.5
ʒ l	0.0	1	313	797	1.0
p k	0.0	2	545	2144	0.5
d j	0.0	1	664	448	1.0
b d	0.0	1	451	664	1.0
d b	0.0	1	664	451	1.0
ʃ p	0.0	1	655	545	1.0
p n	0.0	1	545	665	1.0
n p	0.0	1	665	545	1.0
k ɡ	0.0	1	2144	186	1.0
p m	0.0	1	545	756	1.0
ʃ d	0.0	1	655	664	1.0
n ʃ	0.0	1	665	655	1.0
ʃ s	0.0	1	655	691	1.0
f k	0.0	1	219	2144	1.0
t ɡ	0.0	1	2570	186	1.0
t m	0.0	2	2570	756	0.5
m ʃ	0.0	1	756	655	1.0
d l	0.0	1	664	797	1.0
t f	0.0	1	2570	219	1.0
t h	0.0	1	2570	357	1.0
k p	0.0	1	2144	545	1.0
k ʃ	0.0	1	2144	655	1.0
m k	0.0	1	756	2144	1.0
t s	0.0	1	2570	691	1.0
