ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
d ʒ	8.74	14897	26099	15650	0.0
t ʃ	2.62	9095	32048	15863	0.0
n d	0.36	3434	20284	26099	0.0
s t	0.14	2107	15598	32048	0.0
k t	0.11	2182	22573	32048	0.0
r d	0.1	2136	28695	26099	0.0
n ɡ	0.07	680	20284	4965	0.0
t t	0.06	1895	32048	32048	0.0
n t	0.05	1395	20284	32048	0.0
r t	0.04	1538	28695	32048	0.0
r ɡ	0.04	604	28695	4965	0.0
ʃ t	0.04	1064	15863	32048	0.0
l d	0.03	1066	20066	26099	0.0
z d	0.03	665	7809	26099	0.0
l l	0.03	889	20066	20066	0.0
p t	0.03	586	6432	32048	0.0
f t	0.02	467	5588	32048	0.0
l ɡ	0.02	344	20066	4965	0.0
l t	0.02	867	20066	32048	0.0
h t	0.02	524	7570	32048	0.0
k l	0.02	666	22573	20066	0.0
r m	0.02	1023	28695	38672	0.0
m d	0.01	935	38672	26099	0.0
s k	0.01	528	15598	22573	0.0
z ɡ	0.01	175	7809	4965	0.0
k s	0.01	522	22573	15598	0.0
n s	0.01	471	20284	15598	0.0
ʎ ʎ	0.01	67	2640	2640	0.0
z l	0.01	317	7809	20066	0.0
m b	0.01	498	38672	10268	0.0
v v	0.01	140	5653	5653	0.0
n l	0.01	483	20284	20066	0.0
s p	0.01	237	15598	6432	0.0
p l	0.01	265	6432	20066	0.0
r k	0.01	584	28695	22573	0.0
r l	0.01	550	28695	20066	0.0
v r	0.01	278	5653	28695	0.0
r b	0.01	372	28695	10268	0.0
n k	0.01	463	20284	22573	0.0
ʎ d	0.01	175	2640	26099	0.0
t l	0.01	519	32048	20066	0.0
r p	0.01	272	28695	6432	0.0
s j	0.01	347	15598	20125	0.0
z ɟ	0.01	24	7809	196	0.0
ʃ k	0.01	367	15863	22573	0.0
s s	0.01	288	15598	15598	0.0
r s	0.01	389	28695	15598	0.0
l m	0.0	474	20066	38672	0.0
s l	0.0	284	15598	20066	0.0
j l	0.0	322	20125	20066	0.0
m p	0.0	238	38672	6432	0.0
ʃ m	0.0	363	15863	38672	0.0
n j	0.0	295	20284	20125	0.0
h r	0.0	213	7570	28695	0.0
t r	0.0	438	32048	28695	0.0
p r	0.0	196	6432	28695	0.0
