ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
l nd	0.84	176	2442	684	0.0
n g	0.71	260	1162	3711	0.0
nj j	0.53	254	2636	2108	0.0
l g	0.52	322	2442	3711	0.0
l b	0.39	216	2442	2210	0.0
r g	0.39	191	1147	3711	0.0
l d	0.35	88	2442	410	0.0
l mb	0.28	93	2442	570	0.0
l m	0.28	139	2442	1293	0.0
n b	0.25	118	1162	2210	0.0
l N	0.24	123	2442	1189	0.0
y Ng	0.21	98	1529	1373	0.0
l Ng	0.18	114	2442	1373	0.0
y j	0.17	110	1529	2108	0.0
n nj	0.16	103	1162	2636	0.0
y mb	0.14	52	1529	570	0.0
R b	0.14	86	1106	2210	0.0
l nj	0.11	127	2442	2636	0.0
l j	0.1	109	2442	2108	0.0
y g	0.09	108	1529	3711	0.0
n j	0.07	63	1162	2108	0.0
y N	0.07	53	1529	1189	0.0
R g	0.05	66	1106	3711	0.0
y nj	0.04	61	1529	2636	0.0
y b	0.04	54	1529	2210	0.0
R mb	0.04	23	1106	570	0.0
y m	0.04	40	1529	1293	0.0
R j	0.03	41	1106	2108	0.0
r j	0.03	39	1147	2108	0.0
r N	0.02	25	1147	1189	0.0
r b	0.02	34	1147	2210	0.0
r nj	0.02	36	1147	2636	0.0
R N	0.02	22	1106	1189	0.0
n m	0.01	20	1162	1293	0.0
r d	0.01	11	1147	410	0.001
nj nj	0.01	35	2636	2636	0.0
nj g	0.01	35	2636	3711	0.0
r Ng	0.0	13	1147	1373	0.0
l w	0.0	13	2442	849	0.0
r m	0.0	10	1147	1293	0.002
R w	0.0	7	1106	849	0.016
n N	0.0	7	1162	1189	0.016
R Ng	0.0	7	1106	1373	0.016
y n	0.0	6	1529	1162	0.031
R nj	0.0	7	1106	2636	0.016
m nj	0.0	4	1293	2636	0.125
m g	0.0	4	1293	3711	0.125
r w	0.0	1	1147	849	1.0
