ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
g n	0.58	458	6050	11399	0.0
m p	0.45	233	9818	2364	0.0
d ɟ	0.4	235	6172	4242	0.0
s t	0.37	421	8632	10722	0.0
rː rː	0.29	6	154	154	0.031
fː fː	0.19	3	96	96	0.25
r t	0.16	313	10914	10722	0.0
p r	0.14	139	2364	10914	0.0
jː jː	0.14	4	147	147	0.125
n s	0.1	222	11399	8632	0.0
f r	0.07	127	4000	10914	0.0
r s	0.06	174	10914	8632	0.0
g l	0.06	168	6050	14920	0.0
c k	0.06	56	1836	5468	0.0
r d	0.05	138	10914	6172	0.0
b l	0.05	154	5802	14920	0.0
r l	0.05	209	10914	14920	0.0
r m	0.05	168	10914	9818	0.0
r k	0.05	123	10914	5468	0.0
s k	0.05	108	8632	5468	0.0
s p	0.05	70	8632	2364	0.0
tː l	0.05	56	890	14920	0.0
r n	0.04	168	10914	11399	0.0
x t	0.04	97	3940	10722	0.0
r g	0.04	116	10914	6050	0.0
c r	0.04	63	1836	10914	0.0
t r	0.04	149	10722	10914	0.0
x l	0.04	104	3940	14920	0.0
wː wː	0.04	1	74	74	1.0
b r	0.03	107	5802	10914	0.0
c t	0.03	55	1836	10722	0.0
p l	0.03	73	2364	14920	0.0
r c	0.03	55	10914	1836	0.0
l k	0.03	106	14920	5468	0.0
pː l	0.02	39	787	14920	0.0
j t	0.02	96	6834	10722	0.0
g r	0.02	90	6050	10914	0.0
s c	0.02	43	8632	1836	0.0
f l	0.02	83	4000	14920	0.0
r b	0.02	85	10914	5802	0.0
d rː	0.02	10	6172	154	0.002
l b	0.02	89	14920	5802	0.0
t l	0.02	120	10722	14920	0.0
mb r	0.02	36	1429	10914	0.0
j l	0.02	91	6834	14920	0.0
ŋ kː	0.02	15	1856	1496	0.0
w l	0.02	84	5937	14920	0.0
nt r	0.01	34	1408	10914	0.0
c l	0.01	44	1836	14920	0.0
p t	0.01	42	2364	10722	0.0
r j	0.01	71	10914	6834	0.0
j k	0.01	50	6834	5468	0.0
mb l	0.01	36	1429	14920	0.0
s l	0.01	88	8632	14920	0.0
k s	0.01	52	5468	8632	0.0
d r	0.01	61	6172	10914	0.0
m t	0.01	76	9818	10722	0.0
ɲ cː	0.01	7	2245	407	0.016
r x	0.01	48	10914	3940	0.0
l t	0.01	92	14920	10722	0.0
f t	0.01	47	4000	10722	0.0
ɲ s	0.01	30	2245	8632	0.0
kː l	0.01	31	1496	14920	0.0
l m	0.01	79	14920	9818	0.0
w t	0.01	52	5937	10722	0.0
ŋ l	0.01	34	1856	14920	0.0
l j	0.01	65	14920	6834	0.0
nt s	0.01	22	1408	8632	0.0
p fː	0.01	3	2364	96	0.25
l n	0.01	82	14920	11399	0.0
gː l	0.01	25	1077	14920	0.0
rː r	0.01	8	154	10914	0.008
l d	0.01	58	14920	6172	0.0
x n	0.01	40	3940	11399	0.0
k t	0.01	45	5468	10722	0.0
