ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ŋ k	0.91	426	2334	5894	0.0
n t	0.7	1416	14151	13910	0.0
ɲ c	0.61	226	2811	2062	0.0
q q	0.57	72	794	794	0.0
d d	0.51	638	7434	7434	0.0
t t	0.28	890	13910	13910	0.0
l l	0.27	1055	17020	17020	0.0
b b	0.26	406	6610	6610	0.0
ɲ ɲ	0.26	171	2811	2811	0.0
s s	0.19	503	9628	9628	0.0
g n	0.17	459	6050	14151	0.0
n n	0.16	675	14151	14151	0.0
m p	0.15	233	10698	2364	0.0
ɟ ɟ	0.12	194	4632	4632	0.0
m m	0.12	438	10698	10698	0.0
d ɟ	0.11	236	7434	4632	0.0
s t	0.09	424	9628	13910	0.0
p r	0.05	139	2364	11222	0.0
r t	0.04	315	11222	13910	0.0
f f	0.04	102	4192	4192	0.0
j j	0.03	155	7128	7128	0.0
n s	0.03	226	14151	9628	0.0
f r	0.03	132	4192	11222	0.0
r s	0.02	175	11222	9628	0.0
c k	0.02	58	2062	5894	0.0
g l	0.02	168	6050	17020	0.0
r m	0.02	168	11222	10698	0.0
s p	0.02	73	9628	2364	0.0
b l	0.02	162	6610	17020	0.0
r k	0.02	124	11222	5894	0.0
t r	0.02	190	13910	11222	0.0
r l	0.02	209	11222	17020	0.0
r d	0.02	138	11222	7434	0.0
r r	0.02	168	11222	11222	0.0
s k	0.01	109	9628	5894	0.0
r g	0.01	116	11222	6050	0.0
r n	0.01	169	11222	14151	0.0
c r	0.01	64	2062	11222	0.0
x t	0.01	97	4008	13910	0.0
b r	0.01	110	6610	11222	0.0
x l	0.01	104	4008	17020	0.0
w w	0.01	75	6085	6085	0.0
t l	0.01	178	13910	17020	0.0
p l	0.01	73	2364	17020	0.0
r c	0.01	55	11222	2062	0.0
ŋ ŋ	0.01	26	2334	2334	0.0
c t	0.01	59	2062	13910	0.0
g r	0.01	90	6050	11222	0.0
pp l	0.01	39	787	17020	0.0
l k	0.01	106	17020	5894	0.0
f l	0.01	85	4192	17020	0.0
r b	0.01	86	11222	6610	0.0
s c	0.01	43	9628	2062	0.0
j t	0.01	96	7128	13910	0.0
mb r	0.01	36	1439	11222	0.0
r j	0.0	76	11222	7128	0.0
x x	0.0	34	4008	4008	0.0
l b	0.0	89	17020	6610	0.0
j l	0.0	92	7128	17020	0.0
w l	0.0	84	6085	17020	0.0
ŋ kk	0.0	15	2334	1496	0.0
d r	0.0	73	7434	11222	0.0
j k	0.0	51	7128	5894	0.0
c l	0.0	45	2062	17020	0.0
p t	0.0	42	2364	13910	0.0
mb l	0.0	36	1439	17020	0.0
r x	0.0	48	11222	4008	0.0
s l	0.0	90	9628	17020	0.0
k s	0.0	52	5894	9628	0.0
m t	0.0	80	10698	13910	0.0
ɲ cc	0.0	7	2811	407	0.016
l j	0.0	72	17020	7128	0.0
t s	0.0	73	13910	9628	0.0
f t	0.0	47	4192	13910	0.0
kk l	0.0	31	1496	17020	0.0
l t	0.0	94	17020	13910	0.0
j s	0.0	50	7128	9628	0.0
l m	0.0	81	17020	10698	0.0
m l	0.0	79	10698	17020	0.0
gg l	0.0	25	1077	17020	0.0
ɲ s	0.0	30	2811	9628	0.0
l n	0.0	89	17020	14151	0.0
w t	0.0	52	6085	13910	0.0
r nd	0.0	27	11222	2047	0.0
ŋ l	0.0	34	2334	17020	0.0
x n	0.0	40	4008	14151	0.0
j m	0.0	46	7128	10698	0.0
l d	0.0	58	17020	7434	0.0
l s	0.0	66	17020	9628	0.0
pp p	0.0	7	787	2364	0.016
k t	0.0	45	5894	13910	0.0
x k	0.0	24	4008	5894	0.0
n f	0.0	38	14151	4192	0.0
j n	0.0	49	7128	14151	0.0
k r	0.0	38	5894	11222	0.0
q l	0.0	17	794	17020	0.0
nd r	0.0	22	2047	11222	0.0
s m	0.0	46	9628	10698	0.0
g s	0.0	34	6050	9628	0.0
g t	0.0	40	6050	13910	0.0
m n	0.0	53	10698	14151	0.0
r p	0.0	22	11222	2364	0.0
x p	0.0	13	4008	2364	0.0
t k	0.0	38	13910	5894	0.0
kk t	0.0	19	1496	13910	0.0
t j	0.0	41	13910	7128	0.0
w r	0.0	34	6085	11222	0.0
m f	0.0	27	10698	4192	0.0
m k	0.0	32	10698	5894	0.0
p s	0.0	19	2364	9628	0.0
m s	0.0	39	10698	9628	0.0
f k	0.0	19	4192	5894	0.0
ŋ g	0.0	14	2334	6050	0.0
n x	0.0	26	14151	4008	0.0
j nd	0.0	13	7128	2047	0.0
pp k	0.0	7	787	5894	0.016
l w	0.0	33	17020	6085	0.0
w n	0.0	30	6085	14151	0.0
r f	0.0	22	11222	4192	0.0
s r	0.0	33	9628	11222	0.0
s w	0.0	24	9628	6085	0.0
l f	0.0	26	17020	4192	0.0
ɲ t	0.0	19	2811	13910	0.0
pp t	0.0	10	787	13910	0.002
s b	0.0	24	9628	6610	0.0
gg b	0.0	8	1077	6610	0.008
ɟ t	0.0	24	4632	13910	0.0
w f	0.0	15	6085	4192	0.0
n l	0.0	46	14151	17020	0.0
t w	0.0	27	13910	6085	0.0
s j	0.0	24	9628	7128	0.0
s q	0.0	8	9628	794	0.008
j d	0.0	21	7128	7434	0.0
b s	0.0	23	6610	9628	0.0
f n	0.0	22	4192	14151	0.0
w m	0.0	23	6085	10698	0.0
s n	0.0	33	9628	14151	0.0
gg n	0.0	11	1077	14151	0.001
gg s	0.0	9	1077	9628	0.004
x nd	0.0	8	4008	2047	0.008
l x	0.0	23	17020	4008	0.0
x c	0.0	8	4008	2062	0.008
b t	0.0	26	6610	13910	0.0
m d	0.0	24	10698	7434	0.0
w k	0.0	16	6085	5894	0.0
w s	0.0	20	6085	9628	0.0
j c	0.0	10	7128	2062	0.002
g j	0.0	17	6050	7128	0.0
b d	0.0	18	6610	7434	0.0
t n	0.0	36	13910	14151	0.0
l g	0.0	26	17020	6050	0.0
gg d	0.0	7	1077	7434	0.016
ɴq l	0.0	3	89	17020	0.25
x j	0.0	13	4008	7128	0.0
r w	0.0	20	11222	6085	0.0
q t	0.0	8	794	13910	0.008
kk n	0.0	11	1496	14151	0.001
gg k	0.0	6	1077	5894	0.031
w d	0.0	16	6085	7434	0.0
kk s	0.0	9	1496	9628	0.004
pp nd	0.0	3	787	2047	0.25
r q	0.0	7	11222	794	0.016
ŋ r	0.0	12	2334	11222	0.0
ɲ l	0.0	16	2811	17020	0.0
nd k	0.0	8	2047	5894	0.008
m j	0.0	20	10698	7128	0.0
n w	0.0	21	14151	6085	0.0
j ɟ	0.0	13	7128	4632	0.0
f j	0.0	12	4192	7128	0.0
pp s	0.0	6	787	9628	0.031
f m	0.0	14	4192	10698	0.0
t b	0.0	20	13910	6610	0.0
kk k	0.0	6	1496	5894	0.031
n j	0.0	20	14151	7128	0.0
r ɟ	0.0	14	11222	4632	0.0
cc k	0.0	3	407	5894	0.25
n ŋ	0.0	11	14151	2334	0.001
ɟ k	0.0	10	4632	5894	0.002
k l	0.0	19	5894	17020	0.0
d s	0.0	16	7434	9628	0.0
g m	0.0	15	6050	10698	0.0
q k	0.0	4	794	5894	0.125
m r	0.0	20	10698	11222	0.0
p c	0.0	4	2364	2062	0.125
nd s	0.0	8	2047	9628	0.008
f d	0.0	10	4192	7434	0.002
m mb	0.0	7	10698	1439	0.016
b n	0.0	17	6610	14151	0.0
ɲ n	0.0	11	2811	14151	0.001
f s	0.0	11	4192	9628	0.001
p n	0.0	10	2364	14151	0.002
j p	0.0	7	7128	2364	0.016
m c	0.0	8	10698	2062	0.008
l q	0.0	6	17020	794	0.031
n m	0.0	20	14151	10698	0.0
r ɲ	0.0	9	11222	2811	0.004
c j	0.0	6	2062	7128	0.031
c q	0.0	2	2062	794	0.5
j mb	0.0	5	7128	1439	0.062
d c	0.0	6	7434	2062	0.031
m x	0.0	10	10698	4008	0.002
x m	0.0	10	4008	10698	0.002
nd l	0.0	9	2047	17020	0.004
cc l	0.0	4	407	17020	0.125
ŋ s	0.0	7	2334	9628	0.016
l ɟ	0.0	13	17020	4632	0.0
j r	0.0	13	7128	11222	0.0
cc r	0.0	3	407	11222	0.25
ɴq g	0.0	1	89	6050	1.0
ɟ f	0.0	6	4632	4192	0.031
l c	0.0	8	17020	2062	0.008
pp r	0.0	4	787	11222	0.125
n b	0.0	13	14151	6610	0.0
j b	0.0	9	7128	6610	0.004
n nd	0.0	7	14151	2047	0.016
gg t	0.0	5	1077	13910	0.062
k b	0.0	8	5894	6610	0.008
j ɴq	0.0	1	7128	89	1.0
ɟ l	0.0	11	4632	17020	0.001
d j	0.0	9	7434	7128	0.004
q d	0.0	3	794	7434	0.25
w x	0.0	6	6085	4008	0.031
d g	0.0	8	7434	6050	0.008
p d	0.0	5	2364	7434	0.062
r ŋ	0.0	6	11222	2334	0.031
k w	0.0	7	5894	6085	0.016
d l	0.0	13	7434	17020	0.0
w c	0.0	4	6085	2062	0.125
x s	0.0	7	4008	9628	0.016
ɲɟ ɟ	0.0	2	682	4632	0.5
b k	0.0	7	6610	5894	0.016
x q	0.0	2	4008	794	0.5
mb t	0.0	5	1439	13910	0.062
k n	0.0	10	5894	14151	0.002
ɟ b	0.0	6	4632	6610	0.031
b c	0.0	4	6610	2062	0.125
kk ŋ	0.0	2	1496	2334	0.5
c m	0.0	5	2062	10698	0.062
j w	0.0	7	7128	6085	0.016
d k	0.0	7	7434	5894	0.016
t p	0.0	6	13910	2364	0.031
g d	0.0	7	6050	7434	0.016
x r	0.0	7	4008	11222	0.016
c d	0.0	4	2062	7434	0.125
b j	0.0	7	6610	7128	0.016
cc s	0.0	2	407	9628	0.5
k f	0.0	5	5894	4192	0.062
g k	0.0	6	6050	5894	0.031
m ŋ	0.0	5	10698	2334	0.062
m g	0.0	8	10698	6050	0.008
t m	0.0	12	13910	10698	0.0
ɲ k	0.0	4	2811	5894	0.125
kk r	0.0	4	1496	11222	0.125
p j	0.0	4	2364	7128	0.125
nd ɟ	0.0	3	2047	4632	0.25
mb b	0.0	3	1439	6610	0.25
p f	0.0	3	2364	4192	0.25
l ŋ	0.0	6	17020	2334	0.031
f b	0.0	5	4192	6610	0.062
g b	0.0	6	6050	6610	0.031
w b	0.0	6	6085	6610	0.031
l p	0.0	6	17020	2364	0.031
s d	0.0	8	9628	7434	0.008
s f	0.0	6	9628	4192	0.031
t c	0.0	5	13910	2062	0.062
k j	0.0	6	5894	7128	0.031
m ɲ	0.0	5	10698	2811	0.062
ŋ c	0.0	2	2334	2062	0.5
w j	0.0	6	6085	7128	0.031
c p	0.0	2	2062	2364	0.5
pp n	0.0	3	787	14151	0.25
c s	0.0	4	2062	9628	0.125
d m	0.0	8	7434	10698	0.008
n ɴq	0.0	1	14151	89	1.0
ŋ t	0.0	5	2334	13910	0.062
m ɟ	0.0	6	10698	4632	0.031
cc t	0.0	2	407	13910	0.5
ŋ w	0.0	3	2334	6085	0.25
t d	0.0	8	13910	7434	0.008
s g	0.0	6	9628	6050	0.031
t f	0.0	6	13910	4192	0.031
nd j	0.0	3	2047	7128	0.25
pp c	0.0	1	787	2062	1.0
q nd	0.0	1	794	2047	1.0
cc f	0.0	1	407	4192	1.0
k m	0.0	6	5894	10698	0.031
s ɟ	0.0	5	9628	4632	0.062
j x	0.0	4	7128	4008	0.125
r mb	0.0	3	11222	1439	0.25
d w	0.0	5	7434	6085	0.062
q ŋ	0.0	1	794	2334	1.0
g ɲ	0.0	3	6050	2811	0.25
q s	0.0	2	794	9628	0.5
ɲɟ ɲ	0.0	1	682	2811	1.0
gg j	0.0	2	1077	7128	0.5
d ŋ	0.0	3	7434	2334	0.25
d p	0.0	3	7434	2364	0.25
n r	0.0	9	14151	11222	0.004
nd x	0.0	2	2047	4008	0.5
x ɟ	0.0	3	4008	4632	0.25
ɲ b	0.0	3	2811	6610	0.25
c x	0.0	2	2062	4008	0.5
k mb	0.0	2	5894	1439	0.5
m q	0.0	2	10698	794	0.5
gg c	0.0	1	1077	2062	1.0
k g	0.0	4	5894	6050	0.125
mb n	0.0	3	1439	14151	0.25
ŋ x	0.0	2	2334	4008	0.5
x ŋ	0.0	2	4008	2334	0.5
nd m	0.0	3	2047	10698	0.25
s ŋ	0.0	3	9628	2334	0.25
t ɟ	0.0	5	13910	4632	0.062
m w	0.0	5	10698	6085	0.062
k x	0.0	3	5894	4008	0.25
ɟ ŋ	0.0	2	4632	2334	0.5
x ɲɟ	0.0	1	4008	682	1.0
ɟ p	0.0	2	4632	2364	0.5
k d	0.0	4	5894	7434	0.125
q n	0.0	2	794	14151	0.5
d n	0.0	6	7434	14151	0.031
nd mb	0.0	1	2047	1439	1.0
ɲ f	0.0	2	2811	4192	0.5
f ɲ	0.0	2	4192	2811	0.5
kk nd	0.0	1	1496	2047	1.0
q f	0.0	1	794	4192	1.0
ŋ mb	0.0	1	2334	1439	1.0
nd b	0.0	2	2047	6610	0.5
b ɟ	0.0	3	6610	4632	0.25
c b	0.0	2	2062	6610	0.5
d f	0.0	3	7434	4192	0.25
d nd	0.0	2	7434	2047	0.5
ɟ d	0.0	3	4632	7434	0.25
ŋ b	0.0	2	2334	6610	0.5
p b	0.0	2	2364	6610	0.5
ɟ n	0.0	4	4632	14151	0.125
j ŋ	0.0	2	7128	2334	0.5
ɲ g	0.0	2	2811	6050	0.5
ŋ d	0.0	2	2334	7434	0.5
ɟ x	0.0	2	4632	4008	0.5
nd ŋ	0.0	1	2047	2334	1.0
g q	0.0	1	6050	794	1.0
gg ɟ	0.0	1	1077	4632	1.0
j ɲ	0.0	2	7128	2811	0.5
b pp	0.0	1	6610	787	1.0
pp b	0.0	1	787	6610	1.0
b q	0.0	1	6610	794	1.0
pp j	0.0	1	787	7128	1.0
q j	0.0	1	794	7128	1.0
j q	0.0	1	7128	794	1.0
cc n	0.0	1	407	14151	1.0
