ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
n p	4.78	25	211	471	0.0
n ty	4.25	19	211	306	0.0
t p	4.22	14	75	471	0.0
rr w	2.35	38	761	613	0.0
rr k	2.33	32	761	438	0.0
t ty	1.62	7	75	306	0.015
ny k	1.35	12	185	438	0.0
rn p	0.78	10	207	471	0.002
ty p	0.64	11	306	471	0.001
ny m	0.53	9	185	624	0.004
rn m	0.38	8	207	624	0.007
rn ty	0.3	5	207	306	0.061
l y	0.29	6	238	395	0.03
n m	0.28	7	211	624	0.015
rn ng	0.17	4	207	352	0.123
n ng	0.16	4	211	352	0.123
rr m	0.06	6	761	624	0.03
t l	0.04	1	75	238	1.0
ny p	0.03	2	185	471	0.499
t k	0.02	1	75	438	1.0
ty k	0.02	2	306	438	0.499
n ny	0.02	1	211	185	1.0
t m	0.02	1	75	624	1.0
rr ty	0.01	2	761	306	0.499
ny ng	0.01	1	185	352	1.0
rr y	0.01	2	761	395	0.499
rr p	0.01	2	761	471	0.499
rl p	0.01	1	204	471	1.0
rt ty	0.01	1	317	306	1.0
l k	0.01	1	238	438	1.0
l p	0.01	1	238	471	1.0
rt k	0.01	1	317	438	1.0
rr ny	0.01	1	761	185	1.0
rt p	0.01	1	317	471	1.0
y k	0.0	1	395	438	1.0
