ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
n t	8.11	36	116	70	0.0
rn rt	6.24	38	112	105	0.0
nh th	3.86	19	48	99	0.0
ny ty	1.87	19	79	124	0.0
ng k	1.2	23	112	200	0.0
r p	1.0	14	49	204	0.0
r k	0.88	13	49	200	0.0
m p	0.63	20	158	204	0.0
n k	0.43	14	116	200	0.0
rr w	0.37	12	139	143	0.0
rn k	0.23	10	112	200	0.002
rr k	0.22	11	139	200	0.001
n p	0.17	9	116	204	0.004
t p	0.13	6	70	204	0.03
n ty	0.09	5	116	124	0.061
rn p	0.06	5	112	204	0.061
l y	0.04	2	52	101	0.499
ty p	0.02	3	124	204	0.249
rn ng	0.02	2	112	112	0.499
t l	0.01	1	70	52	1.0
rn m	0.01	2	112	158	0.499
rr m	0.01	2	139	158	0.499
ty k	0.01	2	124	200	0.499
rl p	0.01	1	35	204	1.0
t ty	0.01	1	70	124	1.0
ny ng	0.01	1	79	112	1.0
n ny	0.01	1	116	79	1.0
n ng	0.0	1	116	112	1.0
ny k	0.0	1	79	200	1.0
y k	0.0	1	101	200	1.0
